iter	RMSE
0	17302.29802
1	17299.68516
2	17296.40848
3	17293.51945
4	17290.62963
5	17288.30168
6	17285.86058
7	17283.46285
8	17281.02432
9	17278.59847
10	17274.43082
11	17271.99886
12	17269.53706
13	17265.96255
14	17263.2513
15	17261.47994
16	17259.03774
17	17256.05028
18	17253.99364
19	17251.60472
20	17248.88545
21	17247.56045
22	17245.86688
23	17243.79253
24	17242.34461
25	17240.65083
26	17238.97622
27	17236.93058
28	17235.95774
29	17233.27819
30	17230.95143
31	17229.19204
32	17227.96902
33	17226.02568
34	17223.11984
35	17221.44561
36	17219.81592
37	17217.94937
38	17215.69786
39	17213.97924
40	17212.30067
41	17210.74956
42	17209.45276
43	17207.25038
44	17205.82016
45	17204.24102
46	17202.70903
47	17201.69381
48	17200.76935
49	17199.52575
50	17197.82562
51	17195.22417
52	17192.73246
53	17190.8959
54	17189.9473
55	17188.54276
56	17187.68476
57	17184.30626
58	17183.06788
59	17181.95475
60	17179.91787
61	17178.58667
62	17177.14121
63	17175.15229
64	17173.4669
65	17172.65707
66	17170.66317
67	17169.8348
68	17168.20459
69	17166.46055
70	17164.70146
71	17163.82313
72	17162.62865
73	17161.07254
74	17159.14455
75	17158.08863
76	17156.69265
77	17155.72989
78	17153.8629
79	17153.44276
80	17152.1552
81	17150.63841
82	17149.92265
83	17149.26037
84	17147.62165
85	17146.68782
86	17145.22878
87	17143.90004
88	17143.03864
89	17142.52681
90	17141.09994
91	17140.07511
92	17138.4462
93	17136.86862
94	17135.87916
95	17135.03837
96	17134.57809
97	17133.84263
98	17132.64176
99	17130.52523
