iter	Passed	Remaining
0	1	123
1	2	113
2	3	97
3	4	96
4	4	93
5	5	90
6	6	86
7	7	84
8	8	81
9	8	80
10	9	78
11	10	77
12	11	76
13	12	76
14	13	75
15	14	75
16	15	75
17	16	76
18	17	75
19	18	74
20	19	73
21	20	72
22	21	70
23	21	69
24	22	67
25	23	66
26	24	65
27	25	64
28	25	63
29	26	62
30	27	61
31	28	60
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	38	50
43	38	49
44	39	48
45	40	47
46	41	46
47	42	46
48	47	49
49	51	51
50	53	51
51	55	51
52	57	50
53	58	50
54	60	49
55	61	48
56	62	46
57	62	45
58	63	44
59	64	43
60	65	41
61	66	40
62	67	39
63	67	38
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	73	30
71	75	29
72	75	28
73	76	26
74	77	25
75	78	24
76	79	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
